epoch, batch, loss, loss_bader, loss_e, bader_mae, bader_rmse, e_mae, e_rmse
    1,    98,           11.378,           11.378,       0.00021877,           11.378,            11.94,           18.576,           25.054
    1,    99,           6.8631,           6.8629,       0.00018158,           6.8629,           7.4283,            17.39,           25.742
    1,   100,            6.132,           6.1319,       6.1589e-05,           6.1319,             6.86,           15.737,           21.088
    1,   101,           7.0569,           7.0566,       0.00020805,           7.0566,           7.8875,           23.736,           36.347
    1,   102,           8.1745,           8.1744,       9.2147e-05,           8.1744,           9.0441,           15.682,           19.775
    1,   103,           8.1668,           8.1667,       0.00014603,           8.1667,            8.429,           55.197,           71.818
    1,   104,           5.5348,           5.5346,       0.00014997,           5.5346,           6.8163,           16.929,           19.474
    1,   105,           7.1399,           7.1399,       5.7435e-05,           7.1399,           7.6564,           19.852,           23.384
    1,   106,           8.6944,           8.6935,        0.0008825,           8.6935,           9.2114,           7.5156,           7.9616
    1,   107,           8.7668,           8.7665,       0.00031724,           8.7665,            9.373,           26.979,           33.929
    1,   108,           6.5229,           6.5225,       0.00039769,           6.5225,           7.5096,           21.806,           25.825
    1,   109,           10.253,           10.252,       0.00033079,           10.252,           11.387,           12.523,            15.89
    1,   110,           7.3747,           7.3747,       4.3991e-05,           7.3747,           8.7066,           15.974,           18.487
    1,   111,           10.406,           10.405,       0.00020685,           10.405,           11.074,           9.5459,           11.731
    1,   112,           7.1436,           7.1433,       0.00027149,           7.1433,           8.5445,           39.854,           74.843
    2,     1,           8.0662,           8.0658,       0.00035375,           8.0658,           8.7233,           29.474,           37.666
    2,     2,           6.8809,           6.8808,       0.00011015,           6.8808,           7.5658,           28.822,           33.554
    2,     3,           6.9886,           6.9885,       4.9063e-05,           6.9885,           7.8184,            13.68,           18.766
    2,     4,           8.0561,            8.056,       9.2747e-05,            8.056,           8.7253,           22.293,           32.961
    2,     5,           6.7932,            6.793,       0.00017048,            6.793,           7.6955,           27.661,           35.332
    2,     6,           7.6188,           7.6182,       0.00056036,           7.6182,           8.9341,           25.705,           37.462
    2,     7,           6.6015,           6.6013,       0.00015845,           6.6013,             7.08,           37.367,           51.558
    2,     8,           7.2237,           7.2236,       0.00013761,           7.2236,           7.8169,           48.474,           61.331
    2,     9,           8.4862,           8.4859,       0.00023248,           8.4859,            9.292,           54.895,           85.606
    2,    10,           8.9306,           8.9306,       8.5926e-05,           8.9306,           9.5486,           13.838,            22.07
    2,    11,           7.6452,           7.6451,       7.4837e-05,           7.6451,           8.0964,           16.243,           19.325
    2,    12,           4.0352,           4.0352,       3.0911e-05,           4.0352,           5.3251,           24.997,           44.239
    2,    13,           8.0233,           8.0232,       0.00011793,           8.0232,           9.4136,           11.023,           16.201
    2,    14,           10.089,           10.089,       0.00018536,           10.089,           10.721,           49.903,           92.974
    2,    15,           7.9722,           7.9721,         0.000109,           7.9721,           8.5808,            26.16,           31.492
    2,    16,           7.7631,           7.7627,       0.00035028,           7.7627,           8.3136,           21.356,           27.602
    2,    17,           7.2613,            7.261,       0.00024989,            7.261,           8.3388,           39.784,           48.896
    2,    18,           6.7391,           6.7388,       0.00032296,           6.7388,           7.6951,           27.157,           35.057
    2,    19,           7.8865,            7.886,         0.000423,            7.886,           8.3148,           22.239,           25.962
    2,    20,           6.7186,           6.7186,         5.29e-05,           6.7186,           7.3315,            15.63,           21.559
    2,    21,            7.294,           7.2938,       0.00014994,           7.2938,           8.0311,           16.585,           22.344
    2,    22,           8.4048,           8.4045,        0.0002636,           8.4045,           8.7459,           52.119,           65.824
    2,    23,            7.666,           7.6654,       0.00057027,           7.6654,           9.1336,           16.845,            18.45
    2,    24,           7.0192,           7.0191,       0.00010652,           7.0191,           7.8196,           38.676,           48.461
    2,    25,           10.979,           10.979,       0.00011324,           10.979,           11.231,           17.202,           30.137
    2,    26,           4.4342,           4.4339,       0.00038666,           4.4339,           5.9247,           10.354,           12.295
    2,    27,           9.6946,           9.6944,       0.00015943,           9.6944,           10.578,           9.2848,           10.603
    2,    28,           5.0916,           5.0916,        5.446e-05,           5.0916,           6.2913,           32.332,           42.891
    2,    29,           10.186,           10.186,        0.0003422,           10.186,           10.657,            9.923,           12.235
    2,    30,           9.1937,           9.1934,       0.00022848,           9.1934,            9.738,           20.218,           26.197
    2,    31,           7.7727,           7.7721,       0.00057626,           7.7721,           8.4163,           12.014,           15.517
    2,    32,           7.2227,           7.2225,       0.00023294,           7.2225,           7.9767,           17.485,            24.73
