epoch, wall, LR,training_loss_bader,training_loss_e,training_loss,training_bader_mae,training_bader_rmse,training_e_mae,training_e_rmse,validation_loss_bader,validation_loss_e,validation_loss,validation_bader_mae,validation_bader_rmse,validation_e_mae,validation_e_rmse
        58,  294.249,    0.001,          0.40539,       0.00059964,          0.40599,        0.355,        0.911,         47.9,         85.7,          0.65354,       0.00065849,           0.6542,        0.624,          1.3,         44.5,         98.8
        59,  299.234,    0.001,          0.38059,       0.00058289,          0.38117,        0.349,        0.901,         48.6,         88.7,          0.68125,       0.00074941,            0.682,        0.654,         1.35,         43.9,         92.7
        60,  304.122,    0.001,          0.35448,       0.00055239,          0.35503,        0.342,         0.89,         49.6,         88.6,          0.67556,       0.00072359,          0.67628,        0.651,         1.35,         40.3,           82
        61,  309.021,    0.001,           0.4012,       0.00056286,          0.40176,        0.365,        0.892,           50,         89.9,          0.68158,       0.00059971,          0.68218,        0.664,         1.32,         40.6,         81.3
        62,  313.927,    0.001,          0.35364,        0.0005489,          0.35418,         0.33,        0.869,           48,         83.7,          0.65981,       0.00071396,          0.66052,        0.635,         1.27,         47.7,          110
        63,  318.878,    0.001,          0.38881,       0.00054309,          0.38935,        0.343,        0.869,         47.7,         87.5,          0.65489,       0.00082281,          0.65572,        0.616,         1.27,           49,         98.9
        64,  323.785,    0.001,          0.33832,       0.00055911,          0.33888,        0.323,         0.85,         48.6,         88.5,          0.64736,       0.00060738,          0.64796,        0.618,         1.28,         44.4,         99.8
        65,  328.884,    0.001,          0.34197,       0.00052259,          0.34249,        0.321,        0.844,         47.8,         84.8,          0.64976,       0.00072415,          0.65049,        0.634,         1.32,         43.4,         92.4
        66,  333.751,    0.001,          0.35183,       0.00052292,          0.35236,        0.324,        0.834,         46.9,         84.5,          0.64221,       0.00059103,          0.64281,        0.615,         1.25,         39.2,         82.7
        67,  338.879,    0.001,          0.34231,       0.00053487,          0.34285,         0.32,        0.819,         47.2,         84.8,          0.63919,       0.00072978,          0.63992,        0.609,         1.26,         39.9,         84.3
        68,  343.981,    0.001,          0.34228,       0.00051211,           0.3428,         0.32,        0.814,         45.9,         80.3,           0.6961,       0.00061058,          0.69671,        0.676,         1.27,         40.2,         83.8
        69,  348.974,    0.001,          0.35544,       0.00051005,          0.35595,        0.324,        0.809,         44.3,         77.7,          0.62226,       0.00087658,          0.62313,          0.6,         1.23,         42.2,           84
        70,  354.079,    0.001,           0.3772,       0.00051219,          0.37771,        0.329,        0.804,         45.6,         81.4,          0.65162,       0.00061756,          0.65224,        0.629,         1.21,         43.2,         98.1
        71,  359.059,    0.001,          0.31777,       0.00048627,          0.31826,          0.3,        0.779,         46.6,         84.6,          0.59497,       0.00079591,          0.59577,        0.571,         1.19,         41.1,         88.3
        72,  364.217,    0.001,          0.34041,       0.00042955,          0.34084,        0.307,        0.772,         43.7,         78.9,          0.59221,        0.0008092,          0.59302,         0.57,          1.2,         41.4,         98.2
        73,  369.302,    0.001,          0.34567,       0.00049707,          0.34616,        0.311,         0.77,         45.3,         81.5,          0.63593,       0.00056994,           0.6365,        0.615,         1.21,         38.6,           83
        74,  374.321,    0.001,           0.3021,       0.00042646,          0.30253,        0.293,        0.749,         42.9,         79.2,          0.57857,       0.00058274,          0.57915,         0.56,         1.16,         40.1,         89.2
        75,  379.390,    0.001,          0.31818,       0.00041615,           0.3186,        0.291,        0.746,         43.7,         77.8,          0.56938,       0.00062998,          0.57001,        0.546,         1.16,         41.4,         89.2
        76,  384.425,    0.001,          0.30233,       0.00044274,          0.30278,        0.283,        0.735,         43.4,         77.6,          0.58138,       0.00060309,          0.58198,        0.561,         1.17,         38.1,         82.1
        77,  389.345,    0.001,          0.30135,       0.00041212,          0.30176,        0.274,        0.725,         41.5,         73.5,          0.56863,       0.00056299,          0.56919,        0.552,         1.14,         40.7,         90.7
        78,  394.398,    0.001,          0.30088,       0.00042068,           0.3013,        0.278,        0.713,         42.9,         77.2,          0.57106,       0.00056312,          0.57162,        0.549,         1.14,         35.2,         69.3
